Date_Time,Dp>0.3
2020-08-08 13:03:20,180
2020-08-08 13:03:30,141
2020-08-08 13:03:40,51
2020-08-08 13:03:50,87
2020-08-08 13:04:00,66
2020-08-08 13:04:20,18
2020-08-08 13:04:30,9
2020-08-08 13:04:40,0
2020-08-08 13:04:50,0
2020-08-08 13:05:00,0
2020-08-08 13:05:20,18
2020-08-08 13:05:30,9
2020-08-08 13:05:40,9
2020-08-08 13:05:50,0
2020-08-08 13:06:00,0
2020-08-08 13:06:20,0
2020-08-08 13:06:30,0
2020-08-08 13:06:40,33
2020-08-08 13:06:50,0
2020-08-08 13:07:00,0
2020-08-08 13:07:20,0
2020-08-08 13:07:30,0
2020-08-08 13:07:40,0
2020-08-08 13:07:50,0
2020-08-08 13:08:00,0
2020-08-08 13:08:20,0
2020-08-08 13:08:30,0
2020-08-08 13:08:40,9
2020-08-08 13:08:50,9
2020-08-08 13:09:00,0
2020-08-08 13:09:20,9
2020-08-08 13:09:30,0
2020-08-08 13:09:40,57
2020-08-08 13:09:50,21
2020-08-08 13:10:00,54
2020-08-08 13:10:20,9
2020-08-08 13:10:30,27
2020-08-08 13:10:40,48
2020-08-08 13:10:50,48
2020-08-08 13:11:00,180
2020-08-08 13:11:20,93
2020-08-08 13:11:30,60
2020-08-08 13:11:40,48
2020-08-08 13:11:50,81
2020-08-08 13:12:00,90
2020-08-08 13:12:20,48
2020-08-08 13:12:30,30
2020-08-08 13:12:40,87
2020-08-08 13:12:50,156
2020-08-08 13:13:01,159
2020-08-08 13:13:20,36
2020-08-08 13:13:30,63
2020-08-08 13:13:40,39
2020-08-08 13:13:50,96
2020-08-08 13:14:00,129
2020-08-08 13:14:20,96
2020-08-08 13:14:30,57
2020-08-08 13:14:40,81
2020-08-08 13:14:50,153
2020-08-08 13:15:00,72
2020-08-08 13:15:20,27
2020-08-08 13:15:30,18
2020-08-08 13:15:40,18
2020-08-08 13:15:50,9
2020-08-08 13:16:00,27
2020-08-08 13:16:20,168
2020-08-08 13:16:30,189
2020-08-08 13:16:40,39
2020-08-08 13:16:50,9
2020-08-08 13:17:00,33
2020-08-08 13:17:20,60
2020-08-08 13:17:30,9
2020-08-08 13:17:40,21
2020-08-08 13:17:50,21
2020-08-08 13:18:00,0
2020-08-08 13:18:20,18
2020-08-08 13:18:30,129
2020-08-08 13:18:40,102
2020-08-08 13:18:50,0
2020-08-08 13:19:00,9
2020-08-08 13:19:20,21
2020-08-08 13:19:30,0
2020-08-08 13:19:40,30
2020-08-08 13:19:50,30
2020-08-08 13:20:00,0
2020-08-08 13:20:20,0
2020-08-08 13:20:30,0
2020-08-08 13:20:40,0
2020-08-08 13:20:50,0
2020-08-08 13:21:00,0
2020-08-08 13:21:20,0
2020-08-08 13:21:30,0
2020-08-08 13:21:40,0
2020-08-08 13:21:50,0
2020-08-08 13:22:00,0
2020-08-08 13:22:20,9
2020-08-08 13:22:30,0
2020-08-08 13:22:40,78
2020-08-08 13:22:50,78
2020-08-08 13:23:00,0
2020-08-08 13:23:20,0
2020-08-08 13:23:30,9
2020-08-08 13:23:40,18
2020-08-08 13:23:50,0
2020-08-08 13:24:00,0
